,emotion
0,fearful
1,fearful
2,fearful
3,happy
4,happy
5,happy
6,happy
7,happy
8,happy
9,fearful
10,happy
11,happy
12,happy
13,fearful
14,happy
15,happy
16,happy
17,happy
18,fearful
19,happy
20,calm
21,neutral
22,calm
23,calm
24,happy
25,calm
26,calm
27,fearful
28,happy
29,fearful
30,happy
31,happy
32,happy
33,happy
34,fearful
35,happy
36,fearful
37,happy
38,happy
39,fearful
40,happy
41,fearful
42,fearful
43,happy
44,happy
45,disgust
46,happy
47,happy
48,happy
49,happy
50,happy
51,happy
52,happy
53,disgust
54,happy
55,happy
56,disgust
57,happy
58,happy
59,fearful
60,happy
61,happy
62,happy
63,happy
64,happy
65,happy
66,happy
67,fearful
68,happy
69,happy
70,happy
71,happy
72,happy
73,happy
74,disgust
75,happy
76,happy
77,disgust
78,fearful
79,happy
80,disgust
81,happy
82,happy
83,happy
84,fearful
85,fearful
86,happy
87,happy
88,happy
89,fearful
90,happy
91,happy
92,fearful
93,fearful
94,fearful
95,happy
96,happy
97,happy
98,happy
99,fearful
100,fearful
101,fearful
102,fearful
103,happy
104,fearful
105,happy
106,fearful
107,fearful
108,happy
109,happy
110,happy
111,happy
112,fearful
113,happy
114,happy
115,happy
116,happy
117,fearful
118,happy
119,neutral
120,fearful
121,happy
